form	lemma	POS	morph
ཨོ་རྒྱན་	ཨོ་རྒྱན་	PROPN
བཞི་	བཞི་	NUM
འི་	གི་	PART
མཆོད་སྦྱིན་	མཆོད་སྦྱིན་	NOUN
རྒྱ་ཆེན་པོ་	རྒྱ་ཆེན་པོ་	ADJ
སོགས་	སོགས་	DET
སྨན་	སྨན་	NOUN
གདངས་	གདངས་	NOUN
།		PUNCT
ཐོབ་པ་	ཐོབ་པ་	VERB
ར་	ལ་	PART
གྱུར་ཅིག་	གྱུར་ཅིག་	NO_POS
མཐ་	མཐའ་	NOUN
ར་	ལ་	PART
མེ་ཏོག་	མེ་ཏོག་	NOUN
འཐོར་	འཐོར་	VERB
།		PUNCT
འགོ་	འགོ་	NO_POS
རོལ་	རོལ་	VERB
མེད་པ་	མེད་པ་	VERB
ས་	གིས་	PART
།		PUNCT
ཀྱེ་	ཀྱེ་	INTJ
།		PUNCT
མཆོད་སྦྱིན་	མཆོད་སྦྱིན་	NOUN
བརྒྱ་	བརྒྱ་	NUM
བཞི་	བཞི་	NUM
འི་	གི་	PART
སོགས་	སོགས་	DET
ན་	ནས་	PART
།		PUNCT
ཆག་	ཆག་	VERB
ཆེ་	ཆེ་	VERB
ཉམ་ང་	ཉམ་ང་	NOUN
ཐམས་ཅད་	ཐམས་ཅད་	DET
བརྒྱ་	བརྒྱ་	NUM
བཞི་	བཞི་	NUM
ས་	གིས་	PART
ཟློག་	ཟློག་	VERB
།		PUNCT
བ་	བ་	NOUN
རོལ་	རོལ་	VERB
།		PUNCT
བཟློག་	བཟློག་	VERB
ཆུང་	ཆུང་	VERB
གིས་	གིས་	PART
།		PUNCT
ཀྱཻ་		NON_WORD
།		PUNCT
མཐོ་བ་	མཐོ་བ་	VERB
སོགས་	སོགས་	DET
ན་	ནས་	PART
།		PUNCT
འདི་	འདི་	DET
ཡན་	ཡན་	ADV
གྲངས་	གྲངས་	NOUN
བསགས་	བསགས་	VERB
།		PUNCT
ཚ་	ཚ་	VERB
རྗེས་མ་	རྗེས་མ་	NO_POS
འི་	གི་	PART
བཟློག་པ་	བཟློག་པ་	VERB
གཞུང་	གཞུང་	NOUN
གསལ་	གསལ་	VERB
ལྟ་	ལྟ་	OTHER
ཐལ་	ཐལ་	VERB
རྡེབ་	རྡེབ་	NO_POS
བྱ་	བྱ་	VERB
།		PUNCT
དེ་མིན་	དེ་མིན་	OTHER
གྲངས་	གྲངས་	NOUN
བསགས་	བསགས་	VERB
ཚད་	ཚད་	NOUN
མེད་	མེད་	VERB
།		PUNCT
སྐབས་	སྐབས་	NOUN
འདི་	འདི་	DET
ར་	ལ་	PART
གྲངས་	གྲངས་	NOUN
རྫོགས་	རྫོགས་	VERB
ཉེ་བ་	ཉེ་བ་	VERB
འམ་	གམ་	PART
ཡང་ན་	ཡང་ན་	NO_POS
ཚོགས་	ཚོགས་	NOUN
ཀྱི་	གི་	PART
མཆོད་གཡོག་པ་	མཆོད་གཡོག་པ་	NO_POS
ས་	གིས་	PART
མཐོང་	མཐོང་	VERB
བརྒྱུད་	བརྒྱུད་	NO_POS
བཞིན་	བཞིན་	NOUN
ནང་	ནང་	NOUN
ན་	ནས་	PART
སྒོ་བ་	སྒོ་བ་	NOUN
ར་	ལ་	PART
རིམ་པ་	རིམ་པ་	NOUN
ས་	གིས་	PART
།		PUNCT
དང་པོ་	དང་པོ་	ADJ
གླུད་གཏོར་	གླུད་གཏོར་	NO_POS
རྣམས་	རྣམས་	DET
སྣོད་	སྣོད་	NOUN
གཅིག་	གཅིག་	NUM
།		PUNCT
ཕུང་	ཕུང་	VERB
བདུད་	བདུད་	NOUN
དང་	དང་	NO_POS
སཱཙྪ་		NON_WORD
སྣོད་	སྣོད་	NOUN
གཅིག་	གཅིག་	NUM
།		PUNCT
འཆི་བདུད་	འཆི་བདུད་	NO_POS
དང་	དང་	NO_POS
ལན་ཆགས་	ལན་ཆགས་	NO_POS
སྣོད་	སྣོད་	NOUN
གཅིག་	གཅིག་	NUM
།		PUNCT
ཉོན་	ཉོན་	VERB
བདུད་	བདུད་	NOUN
དང་	དང་	NO_POS
མར་མེ་	མར་མེ་	NOUN
སྣོད་	སྣོད་	NOUN
གཅིག་	གཅིག་	NUM
།		PUNCT
ལྷ་	ལྷ་	NOUN
བདུད་	བདུད་	NOUN
དང་	དང་	NO_POS
ཞལ་ཟས་	ཞལ་ཟས་	NOUN
སྣོད་	སྣོད་	NOUN
གཅིག་	གཅིག་	NUM
།		PUNCT
དེ་དག་	དེ་དག་	OTHER
གི་	གི་	PART
མདུན་	མདུན་	NOUN
གསེར་སྐྱེམས་	གསེར་སྐྱེམས་	OTHER
བཅའ་	བཅའ་	VERB
བཤམ་	བཤམ་	NO_POS
།		PUNCT
ཚ་	ཚ་	VERB
རྗེས་མ་	རྗེས་མ་	NO_POS
འི་	གི་	PART
བཟློག་	བཟློག་	VERB
རོལ་	རོལ་	VERB
ཆུང་བ་	ཆུང་བ་	VERB
ས་	གིས་	PART
སམ་	གམ་	PART
ཚོགས་	ཚོགས་	NOUN
གྲོལ་བ་	གྲོལ་བ་	VERB
ཡིན་	ཡིན་	NO_POS
ན་	ལ་	PART
ཐང་	ཐང་	NOUN
གསུམ་	གསུམ་	NUM
ཟིལ་	ཟིལ་	NOUN
དང་	དང་	NO_POS
བཟློག་	བཟློག་	VERB
ཆུང་	ཆུང་	VERB
གིས་	གིས་	PART
།		PUNCT
ཧཱུྃ་		NON_WORD
།		PUNCT
ཉོན་	ཉོན་	VERB
ཅིག་	ཅིག་	PART
མ་	མ་	PART
ལུས་	ལུས་	NOUN
བགེགས་	བགེགས་	NOUN
སོགས་	སོགས་	DET
ན་	ནས་	PART
།		PUNCT
དམ་ཚིག་	དམ་ཚིག་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
ནི་	ནི་	NO_POS
མ་	མ་	PART
འདའ་	འདའ་	VERB
ཞིག་	ཅིག་	PART
།		PUNCT
བ་	བ་	NOUN
བཟློག་	བཟློག་	VERB
ཆུང་	ཆུང་	VERB
རོལ་	རོལ་	VERB
མཐ་	མཐའ་	NOUN
ར་	ལ་	PART
ཟིལ་	ཟིལ་	NOUN
བཞག་	བཞག་	VERB
།		PUNCT
དེ་ནས་	དེ་ནས་	NO_POS
རང་	རང་	PRON
རོལ་	རོལ་	VERB
དབྱངས་	དབྱངས་	NOUN
བཅའ་	བཅའ་	VERB
ཕྱོགས་	ཕྱོགས་	NOUN
བཞི་	བཞི་	NUM
མཚམས་	མཚམས་	NOUN
བརྒྱད་	བརྒྱད་	NUM
སོགས་	སོགས་	DET
ཀྱིས་	གིས་	PART
གསཻར་		NON_WORD
སྐྱེམས་	སྐྱེམས་	NO_POS
བཏང་	བཏང་	VERB
།		PUNCT
ཡས་གླུད་	ཡས་གླུད་	NO_POS
རྣམས་	རྣམས་	DET
ནད་པ་	ནད་པ་	NOUN
སོགས་	སོགས་	DET
ཕོ་	ཕོ་	NOUN
ལ་	ལ་	PART
གཡའ་	གཡའ་	NOUN
དང་	དང་	NO_POS
མོ་ལ་	མོ་ལ་	NO_POS
གཡོན་	གཡོན་	NOUN
དུ་	ལ་	PART
བསྐོར་	བསྐོར་	VERB
ལ་	ལ་	PART
།		PUNCT
བཟློག་	བཟློག་	VERB
ཆུང་	ཆུང་	VERB
རོལ་	རོལ་	VERB
གྱིས་	གིས་	PART
།		PUNCT
ཧཱུྃ་		NON_WORD
།		PUNCT
བགེགས་	བགེགས་	NOUN
ཀྱི་	གི་	PART
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
སོགས་	སོགས་	DET
ན་	ནས་	PART
།		PUNCT
གནས་	གནས་	NOUN
སུ་	ལ་	PART
དེངས་	དེངས་	NO_POS
།		PUNCT
བ་	བ་	NOUN
།		PUNCT
བཟློག་	བཟློག་	VERB
ཆུང་	ཆུང་	VERB
རོལ་	རོལ་	VERB
མཐ་	མཐའ་	NOUN
ར་	ལ་	PART
སྦྲེལ་	སྦྲེལ་	NO_POS
ཏེ་	སྟེ་	PART
དྲག་	དྲག་	VERB
བརྡུང་	བརྡུང་	NO_POS
གིས་	གིས་	PART
།		PUNCT
གང་ཞིག་	གང་ཞིག་	NO_POS
མཚན་མོ་	མཚན་མོ་	ADV
ར་	ལ་	PART
སོགས་	སོགས་	DET
།		PUNCT
དེ་	དེ་	DET
འི་	གི་	PART
དུས་	དུས་	NOUN
།		PUNCT
ལྷ་	ལྷ་	NOUN
བདུད་	བདུད་	NOUN
དང་	དང་	NO_POS
ཞལ་ཟས་	ཞལ་ཟས་	NOUN
ཤ་	ཤ་	VERB
།		PUNCT
ཉོན་	ཉོན་	VERB
བདུད་	བདུད་	NOUN
དང་	དང་	NO_POS
མར་མེ་	མར་མེ་	NOUN
ནུབ་	ནུབ་	ADV
།		PUNCT
འཆི་བདུད་	འཆི་བདུད་	NO_POS
དང་	དང་	NO_POS
ལན་ཆགས་	ལན་ཆགས་	NO_POS
ལྷོ་	ལྷོ་	NOUN
།		PUNCT
ཕུང་	ཕུང་	VERB
བདུད་	བདུད་	NOUN
དང་	དང་	NO_POS
སཱཙྪ་		NON_WORD
བྱང་	བྱང་	NOUN
དུ་	ལ་	PART
འཕེན་	འཕེན་	VERB
།		PUNCT
གླུད་གཏོར་	གླུད་གཏོར་	NO_POS
ཡ་		
ལམ་	གམ་	PART
དང་	དང་	NO_POS
བདུད་	བདུད་	NOUN
གཅོད་	གཅོད་	NO_POS
སོགས་	སོགས་	DET
ཕྱོགས་	ཕྱོགས་	NOUN
གང་	གང་	NO_POS
གནོད་	གནོད་	VERB
དུ་	ལ་	PART
ཕུལ་	ཕུལ་	VERB
།		PUNCT
མཇུག་	མཇུག་	NOUN
དྲག་	དྲག་	VERB
བརྡུང་	བརྡུང་	NO_POS
ཟིལ་	ཟིལ་	NOUN
འབེབས་	འབེབས་	VERB
དང་	དང་	NO_POS
ཆེ་མཆོག་	ཆེ་མཆོག་	OTHER
པདྨ་	པདྨ་	NOUN
རྒྱབ་	རྒྱབ་	NOUN
སྟེ་	སྟེ་	PART
ཟིལ་	ཟིལ་	NOUN
བཞག་	བཞག་	VERB
།		PUNCT
དེ་ནས་	དེ་ནས་	NO_POS
གཞུང་	གཞུང་	NOUN
གསལ་	གསལ་	VERB
ཤེས་རབ་	ཤེས་རབ་	NOUN
སྙིང་པོ་	སྙིང་པོ་	NOUN
འི་	གི་	PART
གཟུངས་སྔགས་	གཟུངས་སྔགས་	OTHER
བརྒྱ་	བརྒྱ་	NUM
སྟོང་མཐ་	སྟོང་མཐའ་	NO_POS
ར་	ལ་	PART
ཐང་	ཐང་	NOUN
		
སྦྲཾ་		NON_WORD
སྦྲཾ་		NON_WORD
བྱ་	བྱ་	VERB
		
སོགས་	སོགས་	DET
དྲག་	དྲག་	VERB
བརྡུང་	བརྡུང་	NO_POS
གིས་	གིས་	PART
མཚམས་	མཚམས་	NOUN
གཅོད་	གཅོད་	NO_POS
གང་	གང་	NO_POS
འོ་	འོ་	VERB
འདོན་	འདོན་	VERB
།		PUNCT
མཇུག་	མཇུག་	NOUN
དྲག་	དྲག་	VERB
བརྡུང་	བརྡུང་	NO_POS
ཟིལ་	ཟིལ་	NOUN
བཞག་	བཞག་	VERB
།		PUNCT
སཱཙྪ་		NON_WORD
བཅུ་	བཅུ་	NUM
རེ་རེ་	རེ་རེ་	DET
བཞིན་	བཞིན་	NOUN
རྟེན་	རྟེན་	NOUN
སྙིང་	སྙིང་	NOUN
ཉེ་	ཉེ་	NUM
གཅིག་	གཅིག་	NUM
བཟླས་	བཟླས་	NO_POS
ཏེ་	སྟེ་	PART
།		PUNCT
འདི་	འདི་	DET
ར་	ལ་	PART
ནི་	ནི་	NO_POS
གཟུགས་	གཟུགས་	NOUN
དང་	དང་	NO_POS
སོགས་	སོགས་	DET
སྔགས་	སྔགས་	NOUN
བཅའ་	བཅའ་	VERB
ཀྱིས་	གིས་	PART
བརྟན་པ་	བརྟན་པ་	VERB
ར་	ལ་	PART
བཞུགས་	བཞུགས་	VERB
ཏེ་	སྟེ་	PART
གདངས་	གདངས་	NOUN
ལྷུག་	ལྷུག་	NO_POS
གང་	གང་	NO_POS
བདེ་	བདེ་	VERB
ས་	གིས་	PART
།		PUNCT
ཆེ་བ་	ཆེ་བ་	VERB
འི་	གི་	PART
ཆེ་མཆོག་	ཆེ་མཆོག་	OTHER
སོགས་	སོགས་	DET
ཀྱིས་	གིས་	PART
བཀྲ་ཤིས་	བཀྲ་ཤིས་	NOUN
བརྗོད་	བརྗོད་	VERB
།		PUNCT
མཐ་	མཐའ་	NOUN
ར་	ལ་	PART
རོལ་	རོལ་	VERB
སིལ་	སིལ་	NO_POS
།		PUNCT
སཱཙྪ་		NON_WORD
ཁང་པ་	ཁང་པ་	NOUN
འི་	གི་	PART
ཕྱོགས་	ཕྱོགས་	NOUN
རྣམས་	རྣམས་	DET
སུ་	ལ་	PART
གཞུང་	གཞུང་	NOUN
གསལ་	གསལ་	VERB
ལྟ་	ལྟ་	OTHER
འཇོག་	འཇོག་	VERB
།		PUNCT
བ་	བ་	NOUN
འདི་	འདི་	DET
ར་	ལ་	PART
འགའ་ཞིག་	འགའ་ཞིག་	OTHER
གིས་	གིས་	PART
བདུད་	བདུད་	NOUN
བཞི་	བཞི་	NUM
འི་	གི་	PART
གཟུགས་	གཟུགས་	NOUN
རྒྱབ་	རྒྱབ་	NOUN
ཀྱི་	གི་	PART
མདའ་དར་	མདའ་དར་	NOUN
བཞི་པོ་	བཞི་པོ་	NUM
ཐོགས་	ཐོགས་	VERB
ཏེ་	སྟེ་	PART
ཚེ་འགུགས་	ཚེ་འགུགས་	OTHER
བྱ་	བྱ་	VERB
སྲོལ་	སྲོལ་	NOUN
སྣང་བ་	སྣང་བ་	VERB
ལྟ་	ལྟ་	OTHER
བྱ་	བྱ་	VERB
ཀྱང་	ཀྱང་	PART
ལེགས་	ལེགས་	VERB
།		PUNCT
མ་	མ་	PART
བྱ་	བྱ་	VERB
ཀྱང་	ཀྱང་	PART
གཞུང་དོན་	གཞུང་དོན་	NOUN
ཆད་	ཆད་	VERB
སྐྱོན་	སྐྱོན་	NOUN
དུ་	ལ་	PART
འགྲོ་བ་	འགྲོ་བ་	VERB
མ་	མ་	PART
ཡིན་	ཡིན་	NO_POS
འདི་	འདི་	DET
ར་	ལ་	PART
མཛད་	མཛད་	VERB
སྲོལ་	སྲོལ་	NOUN
བྱེད་	བྱེད་	VERB
ཅེས་	ཅེས་	PART
གསུང་	གསུང་	VERB
།		PUNCT
མཆོད་པ་	མཆོད་པ་	VERB
རྣམས་	རྣམས་	DET
ཁ་གསོས་	ཁ་གསོས་	NO_POS
ཏེ་	སྟེ་	PART
།		PUNCT
པད་	པད་	NO_POS
གཅིག་	གཅིག་	NUM
རང་	རང་	PRON
རྒྱ་	རྒྱ་	NOUN
སེ་གོལ་	སེ་གོལ་	NOUN
བཅའ་	བཅའ་	VERB
།		PUNCT
ཨརྒྷཾ་		NON_WORD
སོགས་	སོགས་	DET
རོལ་	རོལ་	VERB
སིལ་	སིལ་	NO_POS
།		PUNCT
རྡོ་	རྡོ་	NOUN
དྲིལ་	དྲིལ་	VERB
བཅའ་	བཅའ་	VERB
ཡང་དག་	ཡང་དག་	ADJ
རྩ་	རྩ་	NUM
གདངས་	གདངས་	NOUN
ཀྱིས་	གིས་	PART
།		PUNCT
ན་མོ་	ན་མོ་	X
།		PUNCT
དཀོན་མཆོག་	དཀོན་མཆོག་	NOUN
གསུམ་	གསུམ་	NUM
གྱི་	གི་	PART
སོགས་	སོགས་	DET
བཞི་	བཞི་	NUM
དྲིལ་	དྲིལ་	VERB
མཇུག་	མཇུག་	NOUN
རོལ་	རོལ་	VERB
སིལ་	སིལ་	NO_POS
བཅའ་	བཅའ་	VERB
ཀྱིས་	གིས་	PART
གྲུབ་	གྲུབ་	VERB
།		PUNCT
ཕྱག་	ཕྱག་	NOUN
གི་	གི་	PART
རྡུལ་ཚོན་	རྡུལ་ཚོན་	NOUN
བསྡུ་	བསྡུ་	VERB
ཏེ་	སྟེ་	PART
ཁང་	ཁང་	NOUN
སྟེང་	སྟེང་	NOUN
ལྟ་བུ་	ལྟ་བུ་	NOUN
ར་	ལ་	PART
གཙང་	གཙང་	PROPN
ས་	ས་	ADP
ར་	ལ་	PART
གཤེགས་	གཤེགས་	VERB
ཏེ་	སྟེ་	PART
ལ་	ལ་	ADP
ས་	གིས་	PART
ཀྱི་	གི་	PART
རྗེས་	རྗེས་	NOUN
བསྡུ་	བསྡུ་	VERB
།		PUNCT
དེ་ལྟ་	དེ་ལྟ་	NO_POS
བརྒྱ་	བརྒྱ་	NUM
བཞི་	བཞི་	NUM
འི་	གི་	PART
ཆོ་ག་	ཆོ་ག་	NOUN
འདོད་དོན་	འདོད་དོན་	NOUN
ལྷུན་གྲུབ་	ལྷུན་གྲུབ་	OTHER
ཀྱི་	གི་	PART
འདོན་	འདོན་	VERB
འགྲིག་	འགྲིག་	VERB
ས་	གིས་	PART
ཟིན་བྲིས་	ཟིན་བྲིས་	OTHER
འདི་	འདི་	DET
ནི་	ནི་	NO_POS
རྣམ་འདྲེན་	རྣམ་འདྲེན་	OTHER
རྡོ་		
འཛིན་	འཛིན་	VERB
རིན་པོ་ཆེ་	རིན་པོ་ཆེ་	ADJ
དང་	དང་	NO_POS
ཚོགས་ཆེན་	ཚོགས་ཆེན་	OTHER
བྱང་	བྱང་	NOUN
འདྲེན་པ་	འདྲེན་པ་	VERB
འཇམ་དཔལ་	འཇམ་དཔལ་	PROPN
ཚུལ་ཁྲིམས་	ཚུལ་ཁྲིམས་	NOUN
ཟུང་	ཟུང་	VERB
གིས་	གིས་	PART
ཞལ་ཁྲིད་	ཞལ་ཁྲིད་	NO_POS
ཇི་ལྟ་		
སྩལ་བ་	སྩལ་བ་	VERB
རྣམས་	རྣམས་	DET
རང་	རང་	PRON
གི་	གི་	PART
དྲན་གསོ་	དྲན་གསོ་	OTHER
ས་	གིས་	PART
སུ་	ལ་	PART
ཡི་གེ་	ཡི་གེ་	NOUN
ར་	ལ་	PART
བཏབ་པ་	བཏབ་པ་	VERB
འོ་	གོ་	PART
།		PUNCT
བདག་བསྐྱེད་	བདག་བསྐྱེད་	OTHER
ཀྱི་	གི་	PART
ཆོ་ག་	ཆོ་ག་	NOUN
གཞན་	གཞན་	DET
དང་	དང་	NO_POS
སྦྲེལ་	སྦྲེལ་	NO_POS
ན་	ནས་	PART
བཏང་	བཏང་	VERB
ཚུལ་	ཚུལ་	NOUN
ནི་	ནི་	NO_POS
གཏེར་ཆེན་	གཏེར་ཆེན་	OTHER
ཉིད་	ཉིད་	DET
ཀྱི་	གི་	PART
ཟིན་བྲིས་	ཟིན་བྲིས་	OTHER
ལྟ་	ལྟ་	OTHER
ཤེས་པ་	ཤེས་པ་	VERB
ར་	ལ་	PART
བྱ་	བྱ་	VERB
འོ་	གོ་	PART
།། །།		PUNCT
